Date,Total_Consumption
2022-04-21,58.8
2022-04-22,68.69999999999999
2022-04-23,30.0
2022-04-24,28.8
2022-04-25,33.3
2022-04-26,38.7
2022-04-27,33.3
2022-04-28,0.6000000000000001
2022-04-30,16.200000000000003
2022-05-01,52.5
2022-05-02,42.3
2022-05-03,102.9
2022-05-04,58.2
2022-05-05,49.8
2022-05-06,54.900000000000006
2022-05-07,43.5
2022-05-08,22.5
2022-05-09,39.6
2022-05-10,30.0
2022-05-11,33.900000000000006
2022-05-12,51.900000000000006
2022-05-13,56.1
2022-05-14,58.8
2022-05-15,21.3
2022-05-16,56.1
2022-05-17,35.099999999999994
2022-05-18,55.5
2022-05-19,46.8
2022-05-20,61.2
2022-05-21,24.6
2022-05-22,39.0
2022-05-23,45.6
2022-05-24,40.2
2022-05-25,60.0
2022-05-26,48.3
2022-05-27,74.4
2022-05-28,47.7
2022-05-29,28.200000000000003
2022-05-30,56.400000000000006
2022-05-31,26.1
2022-06-01,39.3
2022-06-02,31.8
2022-06-03,35.099999999999994
2022-06-04,47.400000000000006
2022-06-05,54.0
2022-06-06,51.900000000000006
2022-06-07,49.8
2022-06-08,29.1
2022-06-09,36.6
2022-06-10,51.900000000000006
2022-06-11,61.5
2022-06-12,59.1
2022-06-13,33.3
2022-06-14,50.1
2022-06-15,51.0
2022-06-16,72.30000000000001
2022-06-17,70.5
2022-06-18,24.0
2022-06-19,29.700000000000003
2022-06-20,44.400000000000006
2022-06-21,37.5
2022-06-22,26.4
2022-06-23,23.4
2022-06-24,25.5
2022-06-25,45.6
2022-06-26,33.0
2022-06-27,61.8
2022-06-28,46.2
2022-06-29,47.7
2022-06-30,42.900000000000006
2022-07-01,72.9
2022-07-02,57.900000000000006
2022-07-03,55.2
2022-07-04,38.7
2022-07-05,46.8
2022-07-06,25.8
2022-07-07,39.3
2022-07-08,32.7
2022-07-09,38.1
2022-07-10,66.0
2022-07-11,48.3
2022-07-12,41.400000000000006
2022-07-13,21.9
2022-07-14,45.6
2022-07-15,27.0
2022-07-16,26.700000000000003
2022-07-17,22.5
2022-07-18,22.200000000000003
2022-07-19,23.1
2022-07-20,38.400000000000006
2022-07-21,27.6
2022-07-22,55.8
2022-07-23,28.8
2022-07-24,21.0
2022-07-25,11.7
2022-07-26,31.200000000000003
2022-07-27,26.700000000000003
2022-07-28,63.0
2022-07-29,9.9
2022-07-30,12.3
2022-07-31,27.3
2022-08-01,30.3
2022-08-02,30.9
2022-08-03,37.5
2022-08-04,22.200000000000003
2022-08-05,43.5
2022-08-06,71.4
2022-08-07,28.8
2022-08-08,21.6
2022-08-09,35.099999999999994
2022-08-10,15.6
2022-08-11,25.8
2022-08-12,39.0
2022-08-13,17.1
2022-08-14,17.700000000000003
2022-08-15,18.3
2022-08-16,15.6
2022-08-17,14.1
2022-08-18,5.1
2022-08-19,48.6
2022-08-20,41.7
2022-08-21,9.0
2022-08-22,30.6
2022-08-23,23.1
2022-08-24,39.0
2022-08-25,35.099999999999994
2022-08-26,33.900000000000006
2022-08-27,27.3
2022-08-28,24.0
2022-08-29,15.0
2022-08-30,35.400000000000006
2022-08-31,22.5
2022-09-01,42.3
2022-09-02,30.0
2022-09-03,20.700000000000003
2022-09-04,22.8
2022-09-05,48.3
2022-09-06,18.6
2022-09-07,20.4
2022-09-08,28.5
2022-09-09,42.3
2022-09-10,34.5
2022-09-11,41.7
2022-09-12,49.5
2022-09-13,26.700000000000003
2022-09-14,20.1
2022-09-15,19.200000000000003
2022-09-16,40.5
2022-09-17,42.3
2022-09-18,27.3
2022-09-19,25.5
2022-09-20,21.0
2022-09-21,34.2
2022-09-22,22.5
2022-09-23,33.599999999999994
2022-09-24,32.7
2022-09-25,32.400000000000006
2022-09-26,55.2
2022-09-27,23.1
2022-09-28,36.3
2022-09-29,64.5
2022-09-30,25.8
2022-10-01,43.8
2022-10-02,60.3
2022-10-03,61.2
2022-10-04,13.5
2022-10-05,14.4
2022-10-06,36.3
2022-10-07,19.5
2022-10-08,22.8
2022-10-09,19.8
2022-10-10,27.3
2022-10-11,45.900000000000006
2022-10-12,27.0
2022-10-13,39.3
2022-10-14,57.900000000000006
2022-10-15,20.700000000000003
2022-10-16,49.2
2022-10-17,24.9
2022-10-18,24.0
2022-10-19,39.900000000000006
2022-10-20,29.1
2022-10-21,49.2
2022-10-22,21.9
2022-10-23,43.8
2022-10-24,38.7
2022-10-25,35.400000000000006
2022-10-26,20.1
2022-10-27,42.0
2022-10-28,7.5
2022-10-29,7.800000000000001
2022-10-30,16.200000000000003
2022-10-31,30.6
2022-11-01,39.3
2022-11-02,67.19999999999999
2022-11-03,68.4
2022-11-04,14.7
2022-11-05,17.4
2022-11-06,12.0
2022-11-07,14.4
2022-11-08,20.4
2022-11-09,17.1
2022-11-10,31.200000000000003
2022-11-11,35.099999999999994
2022-11-12,43.5
2022-11-13,45.6
2022-11-14,29.700000000000003
2022-11-15,25.5
2022-11-16,48.900000000000006
2022-11-17,47.1
2022-11-18,49.2
2022-11-19,25.8
2022-11-20,41.1
2022-11-21,27.0
2022-11-22,33.900000000000006
2022-11-23,56.7
2022-11-24,40.8
